,incentive,information,Merit_std,Wealth_std,Tuition_Prestige_Corr,Total_Revenue
24,0.0,Perfect information,0.0846020213123392,0.14578180925075146,0.9565707763898278,62.13213336804655
25,0.0,Perfect information,0.0962364788191181,0.1460837352793132,0.9920964079821916,147.83421266964706
26,0.0,Perfect information,0.0914876818718957,0.14074270545644196,0.9561372314928896,34.60916716693202
27,0.0,Perfect information,0.08434883915010571,0.15166054900929238,0.9705447710993812,83.80200940813282
28,0.0,Perfect information,0.07937544216786935,0.14879041457682085,0.96478160842557,60.64330528952128
29,0.0,Perfect information,0.08960248352873934,0.14346845653901566,0.9947142895262168,82.34241216686078
30,0.25,No information,0.031609723865704854,0.16290644076504995,0.5945708210754553,80.06064952253406
31,0.25,No information,0.04559963709983611,0.13610175034959807,0.6337760428925596,28.918301117357615
32,0.25,No information,0.03899145132332907,0.18463723823148692,0.9970751830105322,43.72637043827467
33,0.25,No information,0.10195853238165131,0.2940486705076244,0.989222756947691,172.74832655673148
34,0.25,No information,0.03221911575872878,0.1425222246509546,0.3768718625113784,92.10199026431678
35,0.25,No information,0.045680738775084405,0.13797513582983073,0.6193568847058328,28.543101190590015
36,0.25,No information,0.10101963405584291,0.285784890209798,0.9994877557822249,161.6512736524736
37,0.25,No information,0.019892159960755138,0.13379819953507655,-0.6177185112964407,56.06926099429076
38,0.25,No information,0.02541266621497946,0.1086275544205337,0.24620244731847318,58.85479082211104
39,0.25,No information,0.09787885615321243,0.2703165964256146,0.9912472269479654,127.46120266757109
40,0.25,Partial information,0.0591099177910301,0.20628341333249658,0.991534145283167,126.68428717010282
41,0.25,Partial information,0.11369822087365222,0.261492200269584,0.9925012552860086,173.2856171243596
42,0.25,Partial information,0.06022903215946629,0.1944076521033114,0.945701187158382,69.63822388040526
43,0.25,Partial information,0.07015732463504648,0.22940994160630715,0.9479803717544893,80.80034687105237
44,0.25,Partial information,0.06888889294607722,0.3212688614145657,0.9777966410458263,55.39839300717093
45,0.25,Partial information,0.07063249087536434,0.25997333463311684,0.7934690562354678,74.63973276145231
46,0.25,Partial information,0.07398764786115654,0.22064558312974675,0.9898599706339707,145.9658157944636
47,0.25,Partial information,0.05642080268661013,0.17319741420171852,0.40857368542921485,62.18536463128477
48,0.25,Partial information,0.060767561399736936,0.18041444163316006,0.9492453778469867,79.53770836632587
49,0.25,Partial information,0.06961310935122875,0.29514115546154135,0.9925490006602923,50.85886888545251
50,0.25,Perfect information,0.06487739337018575,0.28014996183172947,0.9921582991195708,101.22073350500938
51,0.25,Perfect information,0.07006539173973601,0.23748885285416357,0.9598422266495574,147.93228978931498
52,0.25,Perfect information,0.06879659803662733,0.30253349328080165,0.9858263229331737,72.28060082669148
53,0.25,Perfect information,0.0650130344539149,0.24436416901488744,0.9879718830799668,112.53961676936999
54,0.25,Perfect information,0.07885045882329396,0.2221448672053439,0.9792779479737852,72.03771130391624
55,0.25,Perfect information,0.05920795355319035,0.2100328095940899,0.9915561818616202,97.20285036031463
56,0.25,Perfect information,0.06733837822284218,0.27744372214363566,0.9986422935113327,104.55238157260158
57,0.25,Perfect information,0.07451976651798234,0.2482577022969487,0.9948868595574925,122.5566897849133
58,0.25,Perfect information,0.07458691421329304,0.2727529432773298,0.9951284501339517,83.64515399192045
59,0.25,Perfect information,0.07487566737431468,0.2684553396669852,0.9965687588129056,184.27959781571414
60,0.5,No information,0.03628389078528217,0.15048564045227994,-0.9202657257151362,100.3441041180505
61,0.5,No information,0.0347583759447954,0.16272245627101262,0.9785595660416503,122.42812366817255
62,0.5,No information,0.055931025489836146,0.11591886504550776,0.99794797455529,158.75411540759262
63,0.5,No information,0.04561272906695022,0.1084455309866315,-0.7616294711212148,176.20514589529523
64,0.5,No information,0.0459519792816195,0.14917211727065122,0.6186320316344518,29.290651614828707
65,0.5,No information,0.13460192035623542,0.254001401444137,0.9992588218633238,178.008008953427
66,0.5,No information,0.03441857503152225,0.17714412326647958,0.9838103504289583,90.26241137629202
67,0.5,No information,0.03609692768206448,0.1236858756761781,-0.5006553420959634,165.41910218060698
68,0.5,No information,0.12686377400477838,0.20526483948343874,0.9998823494448319,201.9685102747687
69,0.5,No information,0.035998475485215745,0.17688120487621695,-0.6848534137582082,131.30885925233648
70,0.5,Partial information,0.1018347471306634,0.1884608465923076,0.998216966551237,165.58119737165217
71,0.5,Partial information,0.11424235326170966,0.2510769486999866,0.9936197565274585,142.58978660861226
72,0.5,Partial information,0.12884585765152498,0.23735517361110747,0.9921008694731217,215.27719096366206
73,0.5,Partial information,0.09802368748738119,0.21237779752771754,0.9977826721710911,114.64740342627353
74,0.5,Partial information,0.09582884418599931,0.19938139351508496,0.995783724848558,161.04015399760036
75,0.5,Partial information,0.10852540539280978,0.2091434541968149,0.9984971328411534,202.00680007950356
76,0.5,Partial information,0.10823584217140267,0.2163917614781839,0.9972926354269441,139.39336812829214
77,0.5,Partial information,0.10819561499642863,0.3001022187656711,0.9884839128143248,95.09735177353417
78,0.5,Partial information,0.08800800820599289,0.1853492671372517,0.9760943570148727,132.31131857454204
79,0.5,Partial information,0.14461737744156095,0.2018715489436616,0.9744939750863132,224.01462169242802
80,0.5,Perfect information,0.07794486136573882,0.1501876033393947,0.9984652495761205,202.67016168452503
81,0.5,Perfect information,0.08482130385073133,0.17741060074726628,0.9985069483882797,225.49117385482515
82,0.5,Perfect information,0.10336112707835447,0.1871893702871002,0.9816915677046738,193.4853625748349
83,0.5,Perfect information,0.13473013347578153,0.2480148398500647,0.9533164075097812,150.13050004464208
84,0.5,Perfect information,0.14282331921856256,0.2717022906477331,0.9841590909832437,134.12287430342795
85,0.5,Perfect information,0.12651832355568085,0.23188033460935897,0.9944402470403,146.3054718463382
86,0.5,Perfect information,0.11173469863669186,0.17236496172798246,0.9876868520352182,220.15078770717548
87,0.5,Perfect information,0.13185150343762803,0.27168076733837887,0.9989642947689343,181.56495584526755
88,0.5,Perfect information,0.11326638636950556,0.2360735250147737,0.9686938102345912,103.12110225621633
